date,customer_id,product,category,price,quantity,revenue,region,churn
2023-01-01,130,Shoes,Fashion,3111,4,12444,North,1
2023-01-01,110,Keyboard,Electronics,2192,4,8768,West,0
2023-01-01,159,Phone,Electronics,58065,3,174195,South,1
2023-01-01,277,Mouse,Electronics,499,5,2495,West,0
2023-01-01,478,Mouse,Electronics,4571,5,22855,North,0
2023-01-01,122,Laptop,Electronics,69514,4,278056,East,0
2023-01-01,483,Headphones,Electronics,1911,1,1911,West,1
2023-01-01,119,Mouse,Electronics,3036,5,15180,South,1
2023-01-01,101,Shoes,Fashion,4539,4,18156,North,1
2023-01-01,158,Phone,Electronics,56341,2,112682,South,1
2023-01-02,491,Headphones,Electronics,4250,4,17000,West,0
2023-01-02,462,Mouse,Electronics,3887,1,3887,North,0
2023-01-02,302,Laptop,Electronics,118661,4,474644,North,1
2023-01-02,420,Shoes,Fashion,1771,3,5313,South,0
2023-01-02,192,Headphones,Electronics,4259,4,17036,West,0
2023-01-03,301,Mouse,Electronics,3023,1,3023,North,1
2023-01-03,241,Headphones,Electronics,3580,4,14320,North,1
2023-01-03,367,Mouse,Electronics,1591,1,1591,South,1
2023-01-03,367,Shoes,Fashion,2322,3,6966,South,0
2023-01-04,126,Keyboard,Electronics,4343,2,8686,South,1
2023-01-04,202,Shoes,Fashion,4208,3,12624,West,0
2023-01-04,263,Laptop,Electronics,72466,2,144932,North,1
2023-01-04,181,Laptop,Electronics,60889,2,121778,West,1
2023-01-04,198,Mouse,Electronics,4213,3,12639,North,1
2023-01-05,429,Phone,Electronics,66823,4,267292,West,1
2023-01-05,333,Keyboard,Electronics,1930,2,3860,East,1
2023-01-05,131,Keyboard,Electronics,4659,1,4659,South,0
2023-01-05,257,Phone,Electronics,72253,3,216759,West,1
2023-01-05,113,Keyboard,Electronics,604,1,604,North,0
2023-01-06,485,Mouse,Electronics,3516,5,17580,South,0
2023-01-06,386,Headphones,Electronics,1460,4,5840,South,0
2023-01-06,407,Keyboard,Electronics,4247,4,16988,West,0
2023-01-06,269,Laptop,Electronics,89351,4,357404,North,0
2023-01-06,254,Laptop,Electronics,104308,3,312924,East,1
2023-01-06,209,Phone,Electronics,40722,3,122166,North,1
2023-01-06,497,Headphones,Electronics,2185,4,8740,North,0
2023-01-07,321,Laptop,Electronics,59316,2,118632,South,0
2023-01-07,418,Mouse,Electronics,2317,1,2317,East,1
2023-01-07,477,Mouse,Electronics,1463,5,7315,East,0
2023-01-07,404,Headphones,Electronics,567,4,2268,North,1
2023-01-07,472,Laptop,Electronics,53301,1,53301,South,0
2023-01-08,112,Mouse,Electronics,1349,5,6745,South,1
2023-01-08,242,Headphones,Electronics,2818,3,8454,West,0
2023-01-08,208,Keyboard,Electronics,2030,3,6090,East,0
2023-01-08,169,Phone,Electronics,36575,2,73150,East,0
2023-01-08,120,Headphones,Electronics,3320,1,3320,East,1
2023-01-09,329,Mouse,Electronics,2015,4,8060,North,1
2023-01-09,454,Phone,Electronics,11935,2,23870,West,0
2023-01-10,315,Shoes,Fashion,2937,1,2937,North,0
2023-01-10,161,Keyboard,Electronics,4875,1,4875,East,0
2023-01-10,298,Mouse,Electronics,687,1,687,South,0
2023-01-10,257,Headphones,Electronics,1045,1,1045,West,1
2023-01-11,448,Keyboard,Electronics,2850,3,8550,South,1
2023-01-11,408,Keyboard,Electronics,3127,5,15635,East,0
2023-01-11,497,Phone,Electronics,73633,1,73633,North,1
2023-01-11,270,Phone,Electronics,67267,5,336335,South,1
2023-01-12,216,Laptop,Electronics,142523,2,285046,South,0
2023-01-12,180,Phone,Electronics,23947,4,95788,South,1
2023-01-12,449,Phone,Electronics,49236,4,196944,West,1
2023-01-13,375,Laptop,Electronics,90112,1,90112,South,1
2023-01-13,436,Shoes,Fashion,2650,2,5300,East,0
2023-01-13,143,Shoes,Fashion,3145,3,9435,East,0
2023-01-14,494,Keyboard,Electronics,2303,1,2303,West,0
2023-01-14,450,Shoes,Fashion,3533,1,3533,South,1
2023-01-14,455,Shoes,Fashion,3530,5,17650,East,0
2023-01-15,237,Shoes,Fashion,4856,4,19424,South,0
2023-01-15,345,Laptop,Electronics,79223,3,237669,North,1
2023-01-15,113,Shoes,Fashion,1039,5,5195,South,1
2023-01-15,204,Headphones,Electronics,3800,2,7600,West,1
2023-01-15,441,Headphones,Electronics,3491,2,6982,South,1
2023-01-15,193,Laptop,Electronics,100062,3,300186,North,0
2023-01-15,245,Laptop,Electronics,129070,2,258140,South,0
2023-01-15,109,Laptop,Electronics,68519,3,205557,East,1
2023-01-16,134,Laptop,Electronics,131357,5,656785,North,1
2023-01-16,476,Headphones,Electronics,3807,2,7614,South,0
2023-01-16,487,Laptop,Electronics,80085,5,400425,West,1
2023-01-16,144,Mouse,Electronics,3040,5,15200,East,0
2023-01-16,237,Keyboard,Electronics,4069,5,20345,North,0
2023-01-17,174,Phone,Electronics,26997,3,80991,East,1
2023-01-17,328,Mouse,Electronics,4131,4,16524,West,0
2023-01-17,391,Phone,Electronics,45839,2,91678,East,0
2023-01-18,463,Laptop,Electronics,109036,5,545180,North,1
2023-01-18,302,Keyboard,Electronics,2355,3,7065,West,0
2023-01-18,256,Mouse,Electronics,1424,4,5696,North,0
2023-01-18,318,Keyboard,Electronics,2964,4,11856,South,1
2023-01-18,421,Headphones,Electronics,1134,3,3402,West,0
2023-01-18,170,Laptop,Electronics,132141,1,132141,East,0
2023-01-18,132,Laptop,Electronics,137977,4,551908,South,0
2023-01-19,381,Shoes,Fashion,1786,3,5358,East,1
2023-01-19,399,Mouse,Electronics,3516,2,7032,East,0
2023-01-19,383,Keyboard,Electronics,1662,5,8310,North,1
2023-01-19,281,Mouse,Electronics,524,5,2620,North,1
2023-01-19,490,Headphones,Electronics,3132,5,15660,East,0
2023-01-19,472,Headphones,Electronics,2415,5,12075,North,1
2023-01-19,222,Shoes,Fashion,942,2,1884,South,0
2023-01-19,284,Laptop,Electronics,86403,2,172806,East,0
2023-01-19,456,Headphones,Electronics,2853,5,14265,South,0
2023-01-20,239,Shoes,Fashion,3994,1,3994,South,0
2023-01-20,130,Shoes,Fashion,2498,3,7494,West,1
2023-01-20,406,Keyboard,Electronics,857,2,1714,West,1
2023-01-20,277,Laptop,Electronics,74343,5,371715,South,1
2023-01-20,233,Phone,Electronics,71287,3,213861,North,1
2023-01-20,205,Laptop,Electronics,149939,5,749695,North,0
2023-01-20,241,Headphones,Electronics,4676,5,23380,North,1
2023-01-20,366,Laptop,Electronics,132941,5,664705,West,0
2023-01-20,306,Mouse,Electronics,4514,3,13542,East,1
2023-01-21,245,Laptop,Electronics,52647,1,52647,East,1
2023-01-21,407,Keyboard,Electronics,2118,5,10590,North,1
2023-01-21,445,Shoes,Fashion,4572,4,18288,West,1
2023-01-22,316,Laptop,Electronics,123246,1,123246,West,0
2023-01-22,277,Shoes,Fashion,1376,3,4128,West,1
2023-01-22,128,Headphones,Electronics,4309,3,12927,North,0
2023-01-22,190,Keyboard,Electronics,2901,2,5802,West,1
2023-01-22,240,Shoes,Fashion,2870,4,11480,East,0
2023-01-23,260,Mouse,Electronics,1028,3,3084,West,1
2023-01-23,482,Laptop,Electronics,139468,1,139468,East,0
2023-01-23,484,Headphones,Electronics,2733,2,5466,North,0
2023-01-23,457,Phone,Electronics,50100,1,50100,East,0
2023-01-23,449,Phone,Electronics,47906,3,143718,North,1
2023-01-24,108,Phone,Electronics,11449,3,34347,North,0
2023-01-24,468,Phone,Electronics,48733,5,243665,East,1
2023-01-24,239,Headphones,Electronics,1445,3,4335,North,0
2023-01-24,464,Laptop,Electronics,113319,2,226638,West,0
2023-01-24,464,Shoes,Fashion,1353,4,5412,West,0
2023-01-24,322,Laptop,Electronics,147585,2,295170,South,0
2023-01-24,426,Phone,Electronics,10662,5,53310,North,1
2023-01-24,143,Shoes,Fashion,1836,2,3672,East,1
2023-01-25,299,Phone,Electronics,47948,2,95896,North,1
2023-01-25,500,Keyboard,Electronics,3353,3,10059,South,1
2023-01-25,187,Laptop,Electronics,69804,2,139608,East,0
2023-01-25,419,Mouse,Electronics,4175,3,12525,West,0
2023-01-25,245,Headphones,Electronics,2531,3,7593,East,1
2023-01-25,450,Laptop,Electronics,85487,3,256461,North,1
2023-01-25,140,Keyboard,Electronics,1604,5,8020,South,0
2023-01-25,179,Keyboard,Electronics,2562,1,2562,South,1
2023-01-25,236,Laptop,Electronics,65346,4,261384,East,1
2023-01-25,341,Phone,Electronics,36598,3,109794,South,1
2023-01-25,481,Mouse,Electronics,3649,2,7298,North,0
2023-01-25,422,Laptop,Electronics,75522,3,226566,East,1
2023-01-26,193,Laptop,Electronics,102082,4,408328,North,1
2023-01-26,115,Laptop,Electronics,62151,5,310755,West,1
2023-01-26,485,Phone,Electronics,57449,5,287245,West,0
2023-01-26,490,Mouse,Electronics,3317,3,9951,West,1
2023-01-26,178,Keyboard,Electronics,3079,1,3079,East,0
2023-01-26,220,Phone,Electronics,38686,4,154744,East,0
2023-01-27,257,Headphones,Electronics,1340,4,5360,East,1
2023-01-27,262,Keyboard,Electronics,3124,4,12496,North,0
2023-01-27,341,Phone,Electronics,15706,5,78530,West,1
2023-01-27,179,Mouse,Electronics,3004,1,3004,East,0
2023-01-27,472,Headphones,Electronics,3160,3,9480,North,1
2023-01-27,233,Headphones,Electronics,281,5,1405,North,1
2023-01-28,297,Mouse,Electronics,3948,4,15792,South,1
2023-01-28,143,Keyboard,Electronics,923,3,2769,North,1
2023-01-28,348,Shoes,Fashion,1470,3,4410,South,1
2023-01-28,118,Keyboard,Electronics,3595,4,14380,West,0
2023-01-28,171,Phone,Electronics,16100,1,16100,West,0
2023-01-28,286,Laptop,Electronics,110832,3,332496,East,1
2023-01-28,121,Shoes,Fashion,3781,3,11343,East,1
2023-01-28,179,Mouse,Electronics,3832,3,11496,East,1
2023-01-28,181,Laptop,Electronics,146064,3,438192,East,0
2023-01-28,226,Shoes,Fashion,1060,1,1060,South,1
2023-01-28,324,Headphones,Electronics,1127,5,5635,West,0
2023-01-29,434,Mouse,Electronics,1516,2,3032,East,1
2023-01-29,371,Mouse,Electronics,1718,1,1718,North,0
2023-01-29,299,Keyboard,Electronics,4053,1,4053,East,0
2023-01-29,390,Mouse,Electronics,3750,5,18750,West,0
2023-01-29,259,Laptop,Electronics,113327,3,339981,West,1
2023-01-29,493,Laptop,Electronics,87120,1,87120,West,0
2023-01-29,111,Headphones,Electronics,1124,5,5620,East,1
2023-01-30,168,Headphones,Electronics,4124,1,4124,West,0
2023-01-30,368,Mouse,Electronics,1186,2,2372,East,1
2023-01-30,235,Shoes,Fashion,4407,1,4407,South,1
2023-01-30,142,Mouse,Electronics,3603,2,7206,East,1
2023-01-30,368,Shoes,Fashion,3933,3,11799,North,0
2023-01-31,277,Mouse,Electronics,2843,3,8529,East,0
2023-01-31,179,Headphones,Electronics,2554,1,2554,South,1
2023-01-31,255,Shoes,Fashion,3706,2,7412,North,1
2023-01-31,328,Laptop,Electronics,72701,2,145402,South,0
2023-01-31,156,Mouse,Electronics,4455,4,17820,South,0
2023-01-31,221,Keyboard,Electronics,4573,4,18292,North,0
2023-02-01,395,Phone,Electronics,48999,1,48999,South,1
2023-02-01,202,Mouse,Electronics,4456,3,13368,South,0
2023-02-01,200,Laptop,Electronics,51929,1,51929,North,1
2023-02-01,319,Shoes,Fashion,2979,5,14895,North,1
2023-02-02,215,Keyboard,Electronics,4105,3,12315,North,1
2023-02-02,256,Keyboard,Electronics,1867,4,7468,East,0
2023-02-02,113,Mouse,Electronics,3435,1,3435,South,0
2023-02-02,450,Shoes,Fashion,2577,4,10308,East,0
2023-02-02,423,Laptop,Electronics,112969,1,112969,South,1
2023-02-03,105,Phone,Electronics,12125,2,24250,North,1
2023-02-03,468,Keyboard,Electronics,4590,3,13770,South,1
2023-02-03,363,Headphones,Electronics,1134,4,4536,West,1
2023-02-03,298,Laptop,Electronics,79024,4,316096,East,1
2023-02-03,158,Laptop,Electronics,132320,1,132320,North,1
2023-02-03,286,Headphones,Electronics,1580,1,1580,West,0
2023-02-03,237,Shoes,Fashion,2931,4,11724,East,0
2023-02-04,102,Keyboard,Electronics,1498,3,4494,South,1
2023-02-04,448,Phone,Electronics,40671,4,162684,East,1
2023-02-04,375,Mouse,Electronics,2613,1,2613,East,1
2023-02-04,414,Laptop,Electronics,133417,1,133417,East,1
2023-02-04,427,Mouse,Electronics,2044,2,4088,West,0
2023-02-04,263,Headphones,Electronics,278,3,834,South,0
2023-02-05,259,Mouse,Electronics,4642,2,9284,West,0
2023-02-05,329,Keyboard,Electronics,3563,3,10689,East,0
2023-02-05,455,Headphones,Electronics,1072,1,1072,East,0
2023-02-05,155,Headphones,Electronics,2658,1,2658,East,1
2023-02-05,476,Keyboard,Electronics,2804,2,5608,North,1
2023-02-05,234,Shoes,Fashion,3556,3,10668,East,0
2023-02-05,167,Phone,Electronics,54376,3,163128,East,1
2023-02-06,191,Phone,Electronics,47133,1,47133,North,0
2023-02-06,426,Laptop,Electronics,117672,2,235344,South,1
2023-02-06,432,Mouse,Electronics,1745,4,6980,West,1
2023-02-06,135,Laptop,Electronics,67183,4,268732,West,0
2023-02-06,459,Shoes,Fashion,3427,5,17135,North,1
2023-02-06,304,Keyboard,Electronics,3737,4,14948,West,0
2023-02-06,409,Keyboard,Electronics,2850,1,2850,North,1
2023-02-06,347,Keyboard,Electronics,889,4,3556,South,0
2023-02-06,437,Laptop,Electronics,148726,4,594904,North,0
