date,product,category,price,quantity,revenue,region
2024-01-01,Laptop,Electronics,100051,8,800408,East
2024-01-01,Phone,Electronics,57682,5,288410,North
2024-01-01,Laptop,Electronics,78033,2,156066,West
2024-01-01,Shoes,Fashion,7323,4,29292,East
2024-01-01,Phone,Electronics,23834,1,23834,East
2024-01-01,Watch,Fashion,14835,6,89010,East
2024-01-02,Phone,Electronics,79939,10,799390,North
2024-01-02,Watch,Fashion,6300,3,18900,East
2024-01-02,Laptop,Electronics,92492,6,554952,East
2024-01-03,Laptop,Electronics,86301,9,776709,West
2024-01-03,Laptop,Electronics,145487,7,1018409,West
2024-01-03,Shoes,Fashion,1332,2,2664,South
2024-01-04,Laptop,Electronics,60442,5,302210,South
2024-01-04,Headphones,Electronics,5297,8,42376,West
2024-01-04,Watch,Fashion,17021,8,136168,East
2024-01-04,Laptop,Electronics,149738,1,149738,West
2024-01-04,Headphones,Electronics,11409,10,114090,South
2024-01-04,Headphones,Electronics,11606,3,34818,West
2024-01-04,Watch,Fashion,6303,1,6303,East
2024-01-04,Shoes,Fashion,7228,7,50596,West
2024-01-04,Phone,Electronics,78623,10,786230,East
2024-01-05,Headphones,Electronics,3287,4,13148,West
2024-01-06,Laptop,Electronics,136820,2,273640,South
2024-01-06,Headphones,Electronics,9463,8,75704,East
2024-01-06,Watch,Fashion,10671,7,74697,West
2024-01-06,Watch,Fashion,5163,8,41304,North
2024-01-06,Watch,Fashion,10438,5,52190,North
2024-01-06,Laptop,Electronics,149717,2,299434,South
2024-01-07,Watch,Fashion,2186,10,21860,South
2024-01-07,Shoes,Fashion,4445,10,44450,South
2024-01-07,Shoes,Fashion,2576,9,23184,East
2024-01-07,Shoes,Fashion,7949,2,15898,North
2024-01-08,Laptop,Electronics,76120,9,685080,South
2024-01-08,Phone,Electronics,60184,1,60184,North
2024-01-09,Headphones,Electronics,13826,10,138260,East
2024-01-09,Watch,Fashion,4033,1,4033,East
2024-01-09,Headphones,Electronics,13996,2,27992,North
2024-01-09,Shoes,Fashion,6794,8,54352,South
2024-01-09,Shoes,Fashion,4492,9,40428,North
2024-01-10,Headphones,Electronics,4335,4,17340,East
2024-01-10,Watch,Fashion,9152,2,18304,East
2024-01-10,Laptop,Electronics,82764,2,165528,East
2024-01-10,Watch,Fashion,5846,10,58460,West
2024-01-10,Watch,Fashion,9995,6,59970,South
2024-01-10,Watch,Fashion,19461,3,58383,South
2024-01-10,Phone,Electronics,59508,3,178524,East
2024-01-10,Phone,Electronics,58884,9,529956,East
2024-01-11,Shoes,Fashion,6052,7,42364,North
2024-01-11,Phone,Electronics,49648,8,397184,East
2024-01-11,Shoes,Fashion,1015,3,3045,South
2024-01-11,Headphones,Electronics,14219,5,71095,South
2024-01-12,Laptop,Electronics,62683,4,250732,South
2024-01-12,Headphones,Electronics,11577,5,57885,West
2024-01-12,Laptop,Electronics,146402,10,1464020,East
2024-01-13,Phone,Electronics,29738,7,208166,North
2024-01-13,Laptop,Electronics,70389,4,281556,East
2024-01-13,Shoes,Fashion,1535,1,1535,South
2024-01-13,Headphones,Electronics,3949,6,23694,North
2024-01-13,Laptop,Electronics,95529,1,95529,North
2024-01-13,Shoes,Fashion,5236,5,26180,North
2024-01-14,Laptop,Electronics,62479,6,374874,North
2024-01-14,Headphones,Electronics,9601,9,86409,East
2024-01-14,Phone,Electronics,50609,2,101218,West
2024-01-14,Watch,Fashion,16045,6,96270,East
2024-01-14,Headphones,Electronics,2915,4,11660,West
2024-01-15,Laptop,Electronics,145665,5,728325,East
2024-01-15,Watch,Fashion,7715,6,46290,East
2024-01-15,Watch,Fashion,4987,7,34909,East
2024-01-15,Laptop,Electronics,61066,4,244264,West
2024-01-15,Phone,Electronics,44568,9,401112,West
2024-01-15,Phone,Electronics,48200,1,48200,West
2024-01-17,Shoes,Fashion,3551,5,17755,North
2024-01-17,Watch,Fashion,8509,2,17018,East
2024-01-17,Watch,Fashion,12167,9,109503,North
2024-01-17,Phone,Electronics,58452,1,58452,North
2024-01-18,Watch,Fashion,12589,3,37767,North
2024-01-18,Headphones,Electronics,4790,9,43110,East
2024-01-18,Phone,Electronics,63993,10,639930,North
2024-01-19,Shoes,Fashion,4393,8,35144,North
2024-01-20,Headphones,Electronics,12010,10,120100,South
2024-01-20,Headphones,Electronics,10216,5,51080,East
2024-01-20,Shoes,Fashion,3293,7,23051,North
2024-01-20,Laptop,Electronics,86055,10,860550,East
2024-01-20,Headphones,Electronics,10832,7,75824,North
2024-01-20,Shoes,Fashion,6841,7,47887,South
2024-01-22,Shoes,Fashion,5007,1,5007,North
2024-01-22,Phone,Electronics,48497,7,339479,North
2024-01-22,Headphones,Electronics,5346,2,10692,West
2024-01-22,Shoes,Fashion,6077,9,54693,North
2024-01-23,Laptop,Electronics,126687,3,380061,South
2024-01-23,Phone,Electronics,78848,1,78848,East
2024-01-23,Laptop,Electronics,141918,2,283836,East
2024-01-23,Laptop,Electronics,79935,2,159870,West
2024-01-23,Laptop,Electronics,113326,9,1019934,West
2024-01-23,Phone,Electronics,31904,3,95712,East
2024-01-24,Phone,Electronics,47160,7,330120,North
2024-01-24,Shoes,Fashion,6465,2,12930,West
2024-01-24,Phone,Electronics,49245,10,492450,West
2024-01-24,Laptop,Electronics,94818,3,284454,South
2024-01-24,Headphones,Electronics,13047,7,91329,South
2024-01-25,Phone,Electronics,74362,5,371810,East
2024-01-26,Watch,Fashion,13192,5,65960,West
